threshold,precision,recall,f1,f2,predicted_positive
0.05,0.014519214049730481,1.0,0.02862284685919959,0.0686113393590797,23004
0.1,0.014561625321532894,1.0,0.02870525546817928,0.06880072508548593,22937
0.15,0.014668423364075539,1.0,0.02891274238227147,0.06927735833402472,22770
0.2,0.014852365706154393,1.0,0.02927000262904215,0.07009738079247817,22488
0.25,0.01487745319706973,0.9850299401197605,0.029312188168210976,0.07014925373134329,22114
0.3,0.014995575839426257,0.9640718562874252,0.029531801715045627,0.07058617212503836,21473
0.35,0.015046688277130002,0.9311377245508982,0.029614816930914632,0.0706657577823222,20669
0.4,0.015212458745874588,0.8832335329341318,0.029909763763560783,0.07115978386723273,19392
0.45,0.01625381964761719,0.7485029940119761,0.03181673560292714,0.07477418197044924,15381
0.5,0.020221787345075015,0.3712574850299401,0.03835446953294154,0.08302088912694162,6132
