model,threshold,accuracy,precision,recall,f1,predicted_churn_count,actual_churn_count
Logistic Regression,0.1,0.9876587372563048,0.9885397081206913,0.9990951045154285,0.9937893789378938,11169,11051
Logistic Regression,0.15,0.9870327311751028,0.9885325210535746,0.9984616776762284,0.9934722910007653,11162,11051
Logistic Regression,0.2,0.981845823645144,0.9888248017303533,0.9928513256718849,0.9908339729986002,11096,11051
Logistic Regression,0.25,0.9771954927562153,0.9888607136388335,0.9880553796036557,0.9884578825872449,11042,11051
Logistic Regression,0.3,0.974870327311751,0.9888344226579521,0.9857026513437698,0.9872660533828794,11016,11051
Logistic Regression,0.35,0.9703094258629941,0.9888716592173675,0.9809971948239978,0.9849186881075679,10963,11051
Logistic Regression,0.4,0.9673582543373278,0.9888380603842635,0.9780110397249118,0.9833947500113734,10930,11051
Logistic Regression,0.45,0.9060096583795385,0.9889497359671425,0.9151208035471903,0.950603938525168,10226,11051
Logistic Regression,0.5,0.5580397066714362,0.9884855269470654,0.559315899013664,0.7144012944983819,6253,11051
Logistic Regression,0.55,0.34430334466106244,0.9889560872995004,0.34033119174735316,0.5063955836811633,3803,11051
Logistic Regression,0.6,0.16902164192452154,0.9894268224819143,0.1608904171568184,0.27677459526774595,1797,11051
Logistic Regression,0.65,0.040958683598640674,0.990990990990991,0.029861550990860554,0.05797610681658468,333,11051
Logistic Regression,0.7,0.015739581470219997,0.9787234042553191,0.004162519229029047,0.008289781942692377,47,11051
Logistic Regression,0.75,0.011715256662493293,0.0,0.0,0.0,0,11051
Logistic Regression,0.8,0.011715256662493293,0.0,0.0,0.0,0,11051
Logistic Regression,0.85,0.011715256662493293,0.0,0.0,0.0,0,11051
Logistic Regression,0.9,0.011715256662493293,0.0,0.0,0.0,0,11051
Random Forest,0.1,0.9882847433375067,0.9882847433375067,1.0,0.9941078576890209,11182,11051
Random Forest,0.15,0.988195313897335,0.9882836955549593,0.9999095104515429,0.9940626124505217,11181,11051
Random Forest,0.2,0.9881058844571633,0.9882826475849732,0.9998190209030857,0.9940173631415591,11180,11051
Random Forest,0.25,0.988195313897335,0.9883710528669827,0.9998190209030857,0.9940620782726046,11179,11051
Random Forest,0.3,0.9880164550169916,0.9883689719960633,0.9996380418061714,0.9939715673924779,11177,11051
Random Forest,0.35,0.9697728492219638,0.9884198048691529,0.9809067052755407,0.9846489236079571,10967,11051
Random Forest,0.4,0.9332856376319084,0.9884349227414921,0.9435345217627364,0.965462962962963,10549,11051
Random Forest,0.45,0.8798962618494008,0.9885265700483091,0.8887883449461588,0.9360080049554486,9936,11051
Random Forest,0.5,0.7779467000536576,0.9888178913738019,0.7841824269296896,0.8746908907393389,8764,11051
Random Forest,0.55,0.559917724915042,0.9897730904442313,0.5604922631436069,0.7156970362239298,6258,11051
Random Forest,0.6,0.36290466821677697,0.9897730107258668,0.3590625282779839,0.5269588313413015,4009,11051
Random Forest,0.65,0.29753174745126093,0.989883507050889,0.2921907519681477,0.4511982114161951,3262,11051
Random Forest,0.7,0.2233947415489179,0.9892517569243489,0.2165414894579676,0.35530809205642166,2419,11051
Random Forest,0.75,0.1487211590055446,0.9903969270166453,0.13998733146321599,0.24530246570998177,1562,11051
Random Forest,0.8,0.08996601681273475,0.9910213243546577,0.07990227128766628,0.14788142689666722,891,11051
Random Forest,0.85,0.03595063494902522,0.9963369963369964,0.02461315718034567,0.0480395619922289,273,11051
Random Forest,0.9,0.019942765158290108,0.9893617021276596,0.008415528006515247,0.016689098250336473,94,11051
XGBoost,0.1,0.9875693078161331,0.9883637665592553,0.9991855940638856,0.9937452189173379,11172,11051
XGBoost,0.15,0.9836344124485781,0.9889328774518625,0.9945706270925708,0.9917437401308369,11114,11051
XGBoost,0.2,0.9795206582006797,0.9888868810986629,0.9904081078635417,0.9896469098964691,11068,11051
XGBoost,0.25,0.9751386156322661,0.9889262049559772,0.9858836304406841,0.9874025738626064,11017,11051
XGBoost,0.3,0.9732605973886603,0.9889050563841397,0.9839833499230839,0.9864380641357101,10996,11051
XGBoost,0.35,0.935521373636201,0.9888321029717964,0.9454348022803366,0.9666466207151778,10566,11051
XGBoost,0.4,0.8616526560543731,0.9887883151614894,0.8698760293186137,0.9255283300438069,9722,11051
XGBoost,0.45,0.8008406367376141,0.9889184397163121,0.8075287304316352,0.88906600249066,9024,11051
XGBoost,0.5,0.6514040422106958,0.9894621595730122,0.6542394353452177,0.7876675019065258,7307,11051
XGBoost,0.55,0.4979431228760508,0.9900847304849468,0.49696860012668537,0.6617664778889023,5547,11051
XGBoost,0.6,0.3414416025755679,0.9914689416155692,0.3365306307121527,0.5024996622078097,3751,11051
XGBoost,0.65,0.2274190663566446,0.9906427990235964,0.22034205049316805,0.3605004071359834,2458,11051
XGBoost,0.7,0.14890001788588803,0.9922978177150192,0.13989684191475885,0.24522166706320883,1558,11051
XGBoost,0.75,0.08129136111607942,0.9949109414758269,0.07076282689349381,0.13212807299146742,786,11051
XGBoost,0.8,0.05687712394920408,0.9941291585127201,0.04596869061623383,0.08787407023006401,511,11051
XGBoost,0.85,0.011715256662493293,0.0,0.0,0.0,0,11051
XGBoost,0.9,0.011715256662493293,0.0,0.0,0.0,0,11051
HistGradientBoosting,0.1,0.9882847433375067,0.9882847433375067,1.0,0.9941078576890209,11182,11051
HistGradientBoosting,0.15,0.9882847433375067,0.9882847433375067,1.0,0.9941078576890209,11182,11051
HistGradientBoosting,0.2,0.9882847433375067,0.9882847433375067,1.0,0.9941078576890209,11182,11051
HistGradientBoosting,0.25,0.9882847433375067,0.9882847433375067,1.0,0.9941078576890209,11182,11051
HistGradientBoosting,0.3,0.9882847433375067,0.9882847433375067,1.0,0.9941078576890209,11182,11051
HistGradientBoosting,0.35,0.9882847433375067,0.9882847433375067,1.0,0.9941078576890209,11182,11051
HistGradientBoosting,0.4,0.9882847433375067,0.9882847433375067,1.0,0.9941078576890209,11182,11051
HistGradientBoosting,0.45,0.9882847433375067,0.9882847433375067,1.0,0.9941078576890209,11182,11051
HistGradientBoosting,0.5,0.9882847433375067,0.9882847433375067,1.0,0.9941078576890209,11182,11051
HistGradientBoosting,0.55,0.9882847433375067,0.9882847433375067,1.0,0.9941078576890209,11182,11051
HistGradientBoosting,0.6,0.9882847433375067,0.9882847433375067,1.0,0.9941078576890209,11182,11051
HistGradientBoosting,0.65,0.9882847433375067,0.9883720930232558,0.9999095104515429,0.9941073276055958,11180,11051
HistGradientBoosting,0.7,0.9882847433375067,0.9883720930232558,0.9999095104515429,0.9941073276055958,11180,11051
HistGradientBoosting,0.75,0.9882847433375067,0.9883720930232558,0.9999095104515429,0.9941073276055958,11180,11051
HistGradientBoosting,0.8,0.9881058844571633,0.9883700125246019,0.9997285313546286,0.9940168248684151,11178,11051
HistGradientBoosting,0.85,0.9878375961366482,0.9885417599140632,0.9992760836123428,0.993879938799388,11171,11051
HistGradientBoosting,0.9,0.9875693078161331,0.9885386819484241,0.9990046149669713,0.9937440928934695,11168,11051
